Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Elec_4x5.4,2,4u7,
C10,0805,1,1u/50V,C342759
C11,CP_EIA-7343-31_Kemet-D,1,1000u,C403807
"C12, C19",0805,2,10u,
"C13, C14, C15, C16, C17, C18, C5, C6",0805,8,100n,
"C2, C4",0805,2,1u,
"C7, C8",0805,2,22p,
C9,0805,1,100n/50V,C415304
D1,0805,1,RED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,5V KON,
"J10, J11, J12, J13, J8, J9",PinHeader_1x03_P2.54mm_Horizontal,6,Conn_01x03_Male,
J2,PinHeader_1x04_P2.54mm_Horizontal,1,Prog,
J3,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Male,
J4,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
"J5, J6",PinHeader_1x02_P2.54mm_Horizontal,2,Conn_01x02,
J7,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05,
"Q2, Q3",SOT-23,2,S8050,C380921
R1,0805,1,470,
"R10, R11, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R55, R56, R6, R7, R8, R9",0805,40,10k,
"R12, R13, R14, R27, R28, R29",2512,6,R100,
"R3, R4, R5",0805,3,10k,C100047
"R49, R50, R51, R52, R53, R54",0805,6,220,
SW1,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,1,RESET,C285519
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U10, U5, U6, U7, U8, U9",SOT-23-8,6,INA219AxDCN,
U11,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685PW,
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,
U3,ESP32-WROOM-32,1,ESP32-WROOM-32D,C473012
U4,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
