Designator,Mid X,Mid Y,Rotation,Layer
C1,163.75,-80.5,270.0,top
C10,112.5,-108.5,180.0,top
C11,107.0,-113.25,180.0,top
C12,127.0,-130.0,270.0,top
C13,155.5,-135.0,180.0,top
C14,155.5,-124.75,180.0,top
C15,155.5,-115.0,180.0,top
C16,155.5,-105.0,180.0,top
C17,155.5,-95.0,180.0,top
C18,155.5,-85.0,180.0,top
C19,130.75,-86.5,180.0,top
C2,163.75,-74.7,0.0,top
C3,147.25,-80.5,270.0,top
C4,147.25,-74.7,180.0,top
C5,115.7,-118.25,90.0,top
C6,108.5,-126.75,90.0,top
C7,109.38,-143.5,270.0,top
C8,104.5,-143.5,270.0,top
C9,105.5,-108.5,180.0,top
D1,157.0,-69.25,90.0,top
J1,173.75,-81.5,90.0,top
J10,171.25,-113.75,0.0,top
J11,171.25,-105.0,0.0,top
J12,171.25,-96.25,0.0,top
J13,171.25,-87.5,0.0,top
J2,102.75,-133.5,180.0,top
J3,126.5,-136.0,270.0,top
J4,122.5,-75.75,90.0,top
J5,140.0,-75.75,90.0,top
J6,133.75,-75.75,90.0,top
J7,108.75,-75.75,90.0,top
J8,171.25,-131.25,0.0,top
J9,171.25,-122.5,0.0,top
Q2,96.0,-78.0,180.0,top
Q3,102.75,-74.0,0.0,top
R1,154.0,-69.25,90.0,top
R10,137.5,-141.0,180.0,top
R11,137.5,-143.0,180.0,top
R12,162.0,-139.5,90.0,top
R13,162.0,-129.5,90.0,top
R14,162.0,-119.5,90.0,top
R15,148.5,-141.0,180.0,top
R16,148.5,-131.0,180.0,top
R17,148.5,-121.0,180.0,top
R18,148.5,-143.0,180.0,top
R19,148.5,-133.0,180.0,top
R2,119.0,-118.25,270.0,top
R20,148.5,-123.0,180.0,top
R21,148.5,-136.0,0.0,top
R22,148.5,-139.0,0.0,top
R23,148.5,-126.0,0.0,top
R24,148.5,-129.0,0.0,top
R25,148.5,-116.0,0.0,top
R26,148.5,-119.0,0.0,top
R27,162.0,-109.5,90.0,top
R28,162.0,-99.5,90.0,top
R29,162.0,-89.5,90.0,top
R3,109.0,-108.5,180.0,top
R30,148.5,-111.0,180.0,top
R31,148.5,-101.0,180.0,top
R32,148.5,-91.0,180.0,top
R33,148.5,-113.0,180.0,top
R34,148.5,-103.0,180.0,top
R35,148.5,-93.0,180.0,top
R36,148.5,-106.0,0.0,top
R37,148.5,-109.0,0.0,top
R38,148.5,-96.0,0.0,top
R39,148.5,-99.0,0.0,top
R4,102.5,-78.75,180.0,top
R40,148.5,-86.0,0.0,top
R41,148.5,-89.0,0.0,top
R42,126.75,-103.5,180.0,top
R43,126.75,-105.5,180.0,top
R44,126.75,-107.5,180.0,top
R45,126.75,-109.5,180.0,top
R46,126.75,-111.5,180.0,top
R47,137.5,-88.75,0.0,top
R48,137.5,-86.75,0.0,top
R49,137.5,-113.5,180.0,top
R5,96.25,-74.0,0.0,top
R50,137.5,-111.5,180.0,top
R51,137.5,-109.5,180.0,top
R52,137.5,-107.5,180.0,top
R53,137.5,-105.5,180.0,top
R54,137.5,-103.5,180.0,top
R55,137.5,-84.75,180.0,top
R56,137.5,-82.75,180.0,top
R6,137.5,-117.5,180.0,top
R7,137.5,-115.5,180.0,top
R8,137.5,-139.0,180.0,top
R9,137.5,-119.5,180.0,top
SW1,95.0,-120.5,90.0,top
U1,155.5,-77.0,180.0,top
U10,155.5,-89.5,180.0,top
U11,134.25,-95.0,90.0,top
U2,116.1,-127.59,0.0,top
U3,113.219001,-95.129999,90.0,top
U4,133.5,-129.75,90.0,top
U5,155.5,-139.5,180.0,top
U6,155.5,-129.5,180.0,top
U7,155.5,-119.5,180.0,top
U8,155.5,-109.5,180.0,top
U9,155.5,-99.5,180.0,top
Y1,104.5,-138.5,0.0,top
